,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
96,89.0,Venezuela,547301,,5828.0,,540403.0,,1070.0,36.0,18700.0,199.0,3359014.0,114771.0,29266991.0,South America,53.0,5022.0,9.0,,,37.0
97,90.0,Egypt,515645,,24613.0,,442182.0,,48850.0,122.0,4857.0,232.0,3693367.0,34792.0,106156692.0,Africa,206.0,4313.0,29.0,,,460.0
98,91.0,Libya,507078,,6437.0,,500598.0,,43.0,,72021.0,914.0,2483318.0,352707.0,7040745.0,Africa,14.0,1094.0,3.0,,,6.0
99,92.0,Ethiopia,494497,35.0,7572.0,,472321.0,44.0,14604.0,3.0,4093.0,63.0,5358618.0,44355.0,120812698.0,Africa,244.0,15955.0,23.0,0.3,,121.0
100,93.0,Qatar,477680,260.0,685.0,,475913.0,230.0,1082.0,1.0,160300.0,230.0,4065369.0,1364257.0,2979915.0,Asia,6.0,4350.0,1.0,87.0,,363.0
101,94.0,Réunion,476088,,902.0,,418572.0,,56614.0,10.0,524291.0,993.0,1603660.0,1766027.0,908061.0,Africa,2.0,1007.0,1.0,,,62346.0
102,95.0,Honduras,457676,,11043.0,,,,,105.0,44777.0,1080.0,1559792.0,152603.0,10221247.0,North America,22.0,926.0,7.0,,,30729.0
103,96.0,Armenia,445631,,8709.0,,434743.0,,2179.0,,149945.0,2930.0,3233258.0,1087919.0,2971966.0,Asia,7.0,341.0,1.0,,,733.0
104,97.0,Bosnia and Herzegovina,400466,,16200.0,,378288.0,,5978.0,,123246.0,4986.0,1878960.0,578263.0,3249317.0,Europe,8.0,201.0,2.0,,,1840.0
105,98.0,Oman,399027,,4260.0,,384669.0,,10098.0,2.0,74949.0,800.0,25000000.0,4695724.0,5323993.0,Asia,13.0,1250.0,0.0,,,1897.0
106,99.0,North Macedonia,344710,,9568.0,,334335.0,,807.0,,165622.0,4597.0,2141032.0,1028697.0,2081304.0,Europe,6.0,218.0,1.0,,,388.0
107,100.0,Kenya,341496,36.0,5684.0,,335106.0,94.0,706.0,1.0,6075.0,101.0,3940152.0,70090.0,56215221.0,Africa,165.0,9890.0,14.0,0.6,,13.0
108,101.0,Zambia,333721,,4019.0,,329681.0,,21.0,,17140.0,206.0,3761408.0,193188.0,19470234.0,Africa,58.0,4845.0,5.0,,,1.0
109,102.0,Albania,333330,8.0,3593.0,,328164.0,11.0,1573.0,,116290.0,1254.0,1941032.0,677173.0,2866374.0,Europe,9.0,798.0,1.0,3.0,,549.0
110,103.0,Botswana,326344,,2790.0,,322955.0,,599.0,1.0,133684.0,1143.0,2026898.0,830300.0,2441162.0,Africa,7.0,875.0,1.0,,,245.0
111,104.0,Luxembourg,297757,,1133.0,,288991.0,,7633.0,,463528.0,1764.0,4412567.0,6869188.0,642371.0,Europe,2.0,567.0,0.0,,,11883.0
112,105.0,Montenegro,283644,16.0,2789.0,,280663.0,14.0,192.0,6.0,451698.0,4441.0,2663357.0,4241352.0,627950.0,Europe,2.0,225.0,0.0,25.0,,306.0
113,106.0,Algeria,271061,,6881.0,,182550.0,,81630.0,,5977.0,152.0,230861.0,5091.0,45350148.0,Africa,167.0,6591.0,196.0,,,1800.0
114,107.0,Nigeria,266283,,3155.0,,259640.0,,3488.0,11.0,1229.0,15.0,5441162.0,25104.0,216746934.0,Africa,814.0,68700.0,40.0,,,16.0
115,108.0,Zimbabwe,257893,,5606.0,,251904.0,,383.0,12.0,16821.0,366.0,2525756.0,164744.0,15331428.0,Africa,59.0,2735.0,6.0,,,25.0
116,109.0,Uzbekistan,245858,,1637.0,,241486.0,,2735.0,23.0,7151.0,48.0,1377915.0,40077.0,34382084.0,Asia,140.0,21003.0,25.0,,,80.0
117,110.0,Brunei,241044,,225.0,,222140.0,,18679.0,,541148.0,505.0,717784.0,1611437.0,445431.0,Asia,2.0,1980.0,1.0,,,41935.0
118,111.0,Mozambique,230590,,2224.0,,228310.0,,56.0,11.0,6969.0,67.0,1371127.0,41437.0,33089461.0,Africa,143.0,14878.0,24.0,,,2.0
119,112.0,Martinique,224468,,1071.0,,,,,8.0,600042.0,2863.0,828928.0,2215870.0,374087.0,North America,2.0,349.0,0.0,,,596901.0
120,113.0,Laos,216611,19.0,758.0,,,,,,28955.0,101.0,1233207.0,164845.0,7481023.0,Asia,35.0,9869.0,6.0,3.0,,27829.0
121,114.0,Iceland,207171,,219.0,,,,,2.0,599812.0,634.0,1996384.0,5780036.0,345393.0,Europe,2.0,1577.0,0.0,,,380051.0
122,115.0,Kyrgyzstan,206511,,2991.0,,196406.0,,7114.0,131.0,30693.0,445.0,1907195.0,283460.0,6728271.0,Asia,33.0,2250.0,4.0,,,1057.0
123,116.0,Afghanistan,205612,,7833.0,,182621.0,,15158.0,1124.0,5045.0,192.0,1154211.0,28321.0,40754388.0,Asia,198.0,5203.0,35.0,,,372.0
124,117.0,El Salvador,201785,,4230.0,,179410.0,,18145.0,8.0,30805.0,646.0,2610114.0,398467.0,6550389.0,North America,32.0,1549.0,3.0,,,2770.0
125,118.0,Guadeloupe,197105,,993.0,,,,,19.0,493016.0,2484.0,938039.0,2346306.0,399794.0,North America,2.0,403.0,0.0,,,484905.0
126,119.0,Maldives,185584,,311.0,,163687.0,,21586.0,25.0,343048.0,575.0,2213831.0,4092223.0,540985.0,Asia,3.0,1740.0,0.0,,,39901.0
127,120.0,Trinidad and Tobago,185237,,4266.0,,180767.0,,204.0,8.0,131693.0,3033.0,865849.0,615568.0,1406585.0,North America,8.0,330.0,2.0,,,145.0
128,121.0,Ghana,171009,,1461.0,,169527.0,,21.0,2.0,5279.0,45.0,2521749.0,77843.0,32395450.0,Africa,189.0,22173.0,13.0,,,0.6
129,122.0,Namibia,169946,,4080.0,,165826.0,,40.0,,64523.0,1549.0,1062663.0,403460.0,2633874.0,Africa,15.0,646.0,2.0,,,15.0
130,123.0,Uganda,169663,,3630.0,,100431.0,,65602.0,3.0,3503.0,75.0,3012408.0,62198.0,48432863.0,Africa,285.0,13342.0,16.0,,,1354.0
131,124.0,Jamaica,151931,,3320.0,,99392.0,,49219.0,,50897.0,1112.0,1183986.0,396633.0,2985094.0,North America,20.0,899.0,3.0,,,16488.0
132,125.0,Cambodia,138063,4.0,3056.0,,134971.0,3.0,36.0,,8042.0,178.0,3091420.0,180062.0,17168639.0,Asia,124.0,5618.0,6.0,0.2,,2.0
133,126.0,Rwanda,132643,,1467.0,,131112.0,,64.0,,9753.0,108.0,5882479.0,432520.0,13600464.0,Africa,103.0,9271.0,2.0,,,5.0
134,127.0,Cameroon,123993,,1965.0,,118616.0,,3412.0,13.0,4442.0,70.0,1751774.0,62762.0,27911548.0,Africa,225.0,14204.0,16.0,,,122.0
135,128.0,Malta,115769,4.0,809.0,,114389.0,17.0,571.0,4.0,260722.0,1822.0,2089278.0,4705231.0,444033.0,Europe,4.0,549.0,0.0,9.0,,1286.0
136,129.0,Angola,104491,,1923.0,,102367.0,,201.0,,2983.0,55.0,1499795.0,42818.0,35027343.0,Africa,335.0,18215.0,23.0,,,6.0
137,130.0,Barbados,103955,,564.0,,102435.0,,956.0,,360926.0,1958.0,777669.0,2700024.0,288023.0,North America,3.0,511.0,0.0,,,3319.0
138,131.0,Channel Islands,95592,,207.0,,94963.0,,422.0,,541711.0,1173.0,1252808.0,7099551.0,176463.0,Europe,2.0,852.0,0.0,,,2391.0
139,132.0,French Guiana,95451,,411.0,,11254.0,,83786.0,2.0,303821.0,1308.0,651257.0,2072951.0,314169.0,South America,3.0,764.0,0.0,,,266691.0
140,133.0,DRC,93837,,1452.0,,83590.0,,8795.0,,985.0,15.0,846704.0,8890.0,95240792.0,Africa,1015.0,65593.0,112.0,,,92.0
141,134.0,Senegal,88859,,1968.0,,86858.0,,33.0,,5033.0,111.0,1146543.0,64946.0,17653671.0,Africa,199.0,8970.0,15.0,,,2.0
142,135.0,Malawi,88073,,2685.0,,85008.0,,380.0,67.0,4364.0,133.0,623272.0,30884.0,20180839.0,Africa,229.0,7516.0,32.0,,,19.0
143,136.0,Ivory Coast,87885,,830.0,,87042.0,,13.0,,3168.0,30.0,1652227.0,59556.0,27742298.0,Africa,316.0,33424.0,17.0,,,0.5
144,137.0,Suriname,81228,,1392.0,,,,,,136099.0,2332.0,239603.0,401459.0,596831.0,South America,7.0,429.0,2.0,,,50580.0
145,138.0,French Polynesia,76827,,649.0,,,,,7.0,270361.0,2284.0,,,284164.0,Australia/Oceania,4.0,438.0,,,,150188.0
146,139.0,New Caledonia,75122,,314.0,,74228.0,,580.0,9.0,258227.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania,4.0,926.0,3.0,,,1994.0
147,140.0,Eswatini,73770,,1422.0,,72255.0,,93.0,,62263.0,1200.0,1047886.0,884429.0,1184817.0,Africa,16.0,833.0,1.0,,,78.0
148,141.0,Guyana,71573,,1285.0,,70175.0,,113.0,,90137.0,1618.0,705349.0,888299.0,794045.0,South America,11.0,618.0,1.0,,,142.0
149,142.0,Belize,69012,,688.0,,68310.0,,14.0,6.0,167428.0,1669.0,576016.0,1397453.0,412190.0,North America,6.0,599.0,1.0,,,34.0
150,143.0,Fiji,68375,,878.0,,66440.0,,1057.0,,75181.0,965.0,666164.0,732478.0,909466.0,Australia/Oceania,13.0,1036.0,1.0,,,1162.0
151,144.0,Madagascar,67054,,1411.0,,65379.0,,264.0,,2298.0,48.0,517050.0,17720.0,29178077.0,Africa,435.0,20679.0,56.0,,,9.0
152,145.0,Sudan,63637,,4990.0,,57924.0,,723.0,,1384.0,108.0,562941.0,12240.0,45992020.0,Africa,723.0,9217.0,82.0,,,16.0
153,146.0,Mauritania,63419,,997.0,,62416.0,,6.0,,12937.0,203.0,1007203.0,205469.0,4901981.0,Africa,77.0,4917.0,5.0,,,1.0
154,147.0,Cabo Verde,62969,21.0,412.0,,62372.0,21.0,185.0,23.0,110924.0,726.0,401622.0,707482.0,567678.0,Africa,9.0,1378.0,1.0,37.0,,326.0
155,148.0,Bhutan,62488,,21.0,,61564.0,,903.0,,79305.0,27.0,2303734.0,2923739.0,787941.0,Asia,13.0,37521.0,0.0,,,1146.0
156,149.0,Syria,57393,,3163.0,,54223.0,,7.0,,2964.0,163.0,146269.0,7553.0,19364809.0,Asia,337.0,6122.0,132.0,,,0.4
157,150.0,Burundi,50639,,38.0,,50418.0,,183.0,,4011.0,3.0,345742.0,27386.0,12624840.0,Africa,249.0,332233.0,37.0,,,14.0
158,151.0,Seychelles,49380,,171.0,,48626.0,,583.0,,496651.0,1720.0,,,99426.0,Africa,2.0,581.0,,,,5864.0
159,152.0,Gabon,48972,,306.0,,48491.0,,175.0,,21004.0,131.0,1620866.0,695193.0,2331533.0,Africa,48.0,7619.0,1.0,,,75.0
160,153.0,Andorra,46824,,156.0,,46457.0,,211.0,14.0,604469.0,2014.0,249838.0,3225256.0,77463.0,Europe,2.0,497.0,0.0,,,2724.0
161,154.0,Papua New Guinea,45819,,668.0,,43982.0,,1169.0,7.0,4931.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania,203.0,13910.0,37.0,,,126.0
162,155.0,Curaçao,45559,,295.0,,44720.0,,544.0,3.0,275233.0,1782.0,496693.0,3000640.0,165529.0,North America,4.0,561.0,0.0,,,3286.0
163,156.0,Aruba,43568,,236.0,,42438.0,,894.0,2.0,404873.0,2193.0,177885.0,1653068.0,107609.0,North America,2.0,456.0,1.0,,,8308.0
164,157.0,Mauritius,41042,,1032.0,,39278.0,,732.0,,32197.0,810.0,358675.0,281374.0,1274727.0,Africa,31.0,1235.0,4.0,,,574.0
165,158.0,Mayotte,40612,,187.0,,,,,,141872.0,653.0,176919.0,618038.0,286259.0,Africa,7.0,1531.0,2.0,,,130864.0
166,159.0,Tanzania,40471,,845.0,,,,,7.0,639.0,13.0,,,63298550.0,Africa,1564.0,74910.0,,,,623.0
167,160.0,Togo,39328,2.0,290.0,,39030.0,2.0,8.0,,4530.0,33.0,801433.0,92322.0,8680837.0,Africa,221.0,29934.0,11.0,0.2,,0.9
168,161.0,Guinea,38153,,464.0,,37218.0,,471.0,8.0,2752.0,33.0,660107.0,47607.0,13865691.0,Africa,363.0,29883.0,21.0,,,34.0
